_id,Station Code,State,State Code,District,District Code,Block Name,Block Code,Location Name,Location Code,Basin,Basin Code,Sub Basin,Sub Basin Code,Latitude,Longitude,Monitoring Date,Water Discharge
31,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,31-01-2021,30.36
32,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,01-02-2021,29.87
33,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,02-02-2021,29.12
34,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,03-02-2021,29.12
35,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,04-02-2021,28.49
36,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,05-02-2021,27.63
37,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,06-02-2021,26.57
38,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,07-02-2021,26.54
39,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,08-02-2021,17.34
40,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,09-02-2021,13.16
41,KCCCB4GMYS23,Karnataka,10,Mysuru,186,T Narsipur,130,Cauvery_Bannur,Cauvery_Bannur,Cauvery,9,Middle Cauvery,233,12.31973972,76.84117139,10-02-2021,13.02
